"1","2017.2",""" hello,    i didn't see any announcement about 2017.2 being out, but my machine  just updated to 2017.2. is this correct? can i get some clarification?    thanks.  dave. ""","original","tagged",NULL,"Help","undefined","undefined","undefined","undefined","undefined"
"2","2017.2",""" hi, dave,    yes, the update is available. i just got it.    rosemarie ""","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"3","2017.2","it is out no change i suspect from the rc1 canadate that was available the other day.","following","tagged",NULL,"undefined","undefined","Answer","undefined","Elaboration","undefined"
"4","2017.2",""" hi!    i also updated to the latest nvda-version from the help menu, reading your letter. by the way it happened no strange thing, so, i'm quiet. yes, by the way i also waited for an official announcement but so is good too.    best wishes  georgi       29.5.2017   .    18:39   ., david mehler             : ""","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"5","2017.2","""  sorry folks, mick and jamie were working later than me last night, i had to go out to a prior engagement.   but yes, nvda 2017.2 is officially out.   as dennis guessed, no changes from the rc1 version that came out last week.   i'll send out a fresh message to the list in a minute.     regards    quentin.       ""","following","tagged",NULL,"undefined","undefined","Answer","undefined","Elaboration","undefined"
"6","2017.2",""" yes i've been on master ever since the select all fix came in as it was very important to what i do with emails and editing copy to read on a talking newspaper.  i have the new finished release as a portable version and will roll it out to other machines this week.  brian    bglists@...  sent via blueyonder.  please address personal email to:-  briang1@..., putting 'brian gaff'  in the display name field. ""","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"7","2017.2","""                 hi!    i think nothing awfully is happened. nvda works perfectly and        all's ok!    georgi                 30.5.2017   .    02:24   ., quentin        christensen             :          ""","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"8","2500",""" hi brad, 2 5 0 0 reads as 2 thousand five hundred with with 16.2 but do not know if there is any settings to achieve this.  joe ""","original","tagged",NULL,"Help","undefined","undefined","undefined","undefined","undefined"
"9",".pdf readers","""              is there a pdf reader other than adobe reader that works with nvda?   i   need one that preserves the document format including indentions.    visual inspection of the documents in adobe reader reveals that they   contain indented lines but nvda says that all lines are at the left   margin.    i converted the document to various formats with three different converters   and in no case does the output show indented lines.          thanks very much,    george      ""","original","tagged",NULL,"Help","undefined","undefined","undefined","undefined","undefined"
"10",".pdf readers","i use edge pdf view. it works with accessible files. this is part of windows 10 latest release.          files generated by office365 2016 work as accessible pdf.          john","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"11",".pdf readers",""" there are only 3 solutions well 4 really that are worth mentioning 5 if you count online.    1.  adobe reader that can save to html and or text so in theory it should work.    2.  balabolka, or edsharp both should be able to read pdfs as text like files.    3.  pdf2txt, should be able to ripp files to bits even encripted files though what you get back is unknown.    4.  abbyy fine reader, never got this to work accessibly but it can read so can omnipage, k1000, etc most ocr packagers.    5.  google, while technically not a solution you can email the pdf to yourself, convert to html and save the results.    6, some epub readers can read pdf and edge can though never try it.    firefox and chrome may to but as i said never tried it.    there is also foxit but it never worked for me. ""","following","tagged",NULL,"undefined","undefined","Answer","undefined","Elaboration","undefined"
"12",".pdf readers","""                 ocr programs like openbook or omnipage don't   present pdf files in their original form.   they recognize them as you would   a page of text.   it is an ocr recognition and isn't and won't be considered   to be the original document.   plus, it will almost certainly have some   recognition errors.              gene     ""","following","tagged",NULL,"undefined","undefined","undefined","undefined","Elaboration","undefined"
"13",".pdf readers","""          hi all!  i just want you to know, that i use edge with nvda to read pdf   s a lot, and edge is better than even adobe reader for reading pdf articles. edge shows the entire article, and nvda reads great. once jaws supports edge, i believe that edge will be a great solution for reading pdf   s. any epub book can be read in edge as well. so, edge will be powerful once we have all of the accessibility for it.  david moore  sent from  mail  for windows 10             ""","following","tagged",NULL,"Help","undefined","undefined","Clarification","undefined","undefined"
"14",".pdf readers","""          does it recognize the tags used (headings, lists, paragraphs, tables etc.) in tagged pdf documents?                 ""","following","tagged",NULL,"undefined","undefined","undefined","Clarification","undefined","undefined"
"15",".pdf readers","it sure does!  that is the great part!  david moore  sent from  mail  for windows 10","following","tagged",NULL,"undefined","undefined","undefined","undefined","Elaboration","undefined"
"16",".pdf readers","""          excellent, thanks. in my work environment, i find that the best way to read pdf files is often to use abbyy finereader 12 pro to convert them to another format (e.g., microsoft words). where the files contain only images of text, of course, this is necessary, but it   s even useful in circumstances in which there   s actual text in the pdf file, but adobe reader has problems with it.                 ""","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"17",".pdf readers",""" hello.  if you want to read normal pdf files not scanned pdf and dont need  ocr, i prefer firefox.  i used it and it worked for me.  its a little difficult to explane how to use in english.  also for conversion pdf files in other formats, you can try chrome and  for converting in to txt or just reading, i recommend balabolka.  they are the only free solutions that i know except adobe reader. ""","following","tagged",NULL,"undefined","undefined","Answer","undefined","Elaboration","undefined"
